"Entity","Code","Year","Life_expectancy"
"Afghanistan","AFG","1950","27.7275"
"Afghanistan","AFG","1951","27.9634"
"Afghanistan","AFG","1952","28.4456"
"Afghanistan","AFG","1953","28.9304"
"Afghanistan","AFG","1954","29.2258"
"Afghanistan","AFG","1955","29.9206"
"Afghanistan","AFG","1956","30.4078"
"Afghanistan","AFG","1957","30.9458"
"Afghanistan","AFG","1958","31.5066"
"Afghanistan","AFG","1959","32.0386"
"Afghanistan","AFG","1960","32.5346"
"Afghanistan","AFG","1961","33.0681"
"Afghanistan","AFG","1962","33.5471"
"Afghanistan","AFG","1963","34.0162"
"Afghanistan","AFG","1964","34.4942"
"Afghanistan","AFG","1965","34.9528"
"Afghanistan","AFG","1966","35.4531"
"Afghanistan","AFG","1967","35.924"
"Afghanistan","AFG","1968","36.4183"
"Afghanistan","AFG","1969","36.9101"
"Afghanistan","AFG","1970","37.4178"
"Afghanistan","AFG","1971","37.9233"
"Afghanistan","AFG","1972","38.4439"
"Afghanistan","AFG","1973","39.0029"
"Afghanistan","AFG","1974","39.5498"
"Afghanistan","AFG","1975","40.1003"
"Afghanistan","AFG","1976","40.6454"
"Afghanistan","AFG","1977","41.2278"
"Afghanistan","AFG","1978","40.2712"
"Afghanistan","AFG","1979","39.0861"
"Afghanistan","AFG","1980","39.6181"
"Afghanistan","AFG","1981","40.164"
"Afghanistan","AFG","1982","37.7661"
"Afghanistan","AFG","1983","38.1865"
"Afghanistan","AFG","1984","33.3289"
"Afghanistan","AFG","1985","33.5504"
"Afghanistan","AFG","1986","39.3962"
"Afghanistan","AFG","1987","39.8436"
"Afghanistan","AFG","1988","43.9579"
"Afghanistan","AFG","1989","45.1582"
"Afghanistan","AFG","1990","45.9672"
"Afghanistan","AFG","1991","46.6631"
"Afghanistan","AFG","1992","47.5955"
"Afghanistan","AFG","1993","51.4664"
"Afghanistan","AFG","1994","51.4945"
"Afghanistan","AFG","1995","52.5442"
"Afghanistan","AFG","1996","53.2433"
"Afghanistan","AFG","1997","53.6342"
"Afghanistan","AFG","1998","52.9431"
"Afghanistan","AFG","1999","54.8464"
"Afghanistan","AFG","2000","55.2978"
"Afghanistan","AFG","2001","55.7981"
"Afghanistan","AFG","2002","56.4538"
"Afghanistan","AFG","2003","57.3445"
"Afghanistan","AFG","2004","57.9436"
"Afghanistan","AFG","2005","58.3608"
"Afghanistan","AFG","2006","58.6844"
"Afghanistan","AFG","2007","59.1113"
"Afghanistan","AFG","2008","59.8515"
"Afghanistan","AFG","2009","60.3636"
"Afghanistan","AFG","2010","60.8508"
"Afghanistan","AFG","2011","61.4191"
"Afghanistan","AFG","2012","61.923"
"Afghanistan","AFG","2013","62.4167"
"Afghanistan","AFG","2014","62.5451"
"Afghanistan","AFG","2015","62.6587"
"Afghanistan","AFG","2016","63.1361"
"Afghanistan","AFG","2017","63.016"
"Afghanistan","AFG","2018","63.081"
"Afghanistan","AFG","2019","63.5645"
"Afghanistan","AFG","2020","62.5751"
"Afghanistan","AFG","2021","61.9824"
"Africa (UN)","","1950","37.6235"
"Africa (UN)","","1951","37.9309"
"Africa (UN)","","1952","38.443"
"Africa (UN)","","1953","38.9152"
"Africa (UN)","","1954","39.2991"
"Africa (UN)","","1955","39.8008"
"Africa (UN)","","1956","40.1704"
"Africa (UN)","","1957","40.0129"
"Africa (UN)","","1958","40.303"
"Africa (UN)","","1959","41.2823"
"Africa (UN)","","1960","41.4816"
"Africa (UN)","","1961","41.8692"
"Africa (UN)","","1962","42.3208"
"Africa (UN)","","1963","42.7767"
"Africa (UN)","","1964","43.2464"
"Africa (UN)","","1965","43.4401"
"Africa (UN)","","1966","43.433"
"Africa (UN)","","1967","43.6456"
"Africa (UN)","","1968","44.1023"
"Africa (UN)","","1969","44.3156"
"Africa (UN)","","1970","44.7834"
"Africa (UN)","","1971","45.322"
"Africa (UN)","","1972","45.4068"
"Africa (UN)","","1973","46.1543"
"Africa (UN)","","1974","46.4601"
"Africa (UN)","","1975","46.903"
"Africa (UN)","","1976","47.6398"
